"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 17:13:31 GMT 2022","Tue Jun 14 17:13:32 GMT 2022","1134","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
"passed","Tue Jun 14 17:13:26 GMT 2022","Tue Jun 14 17:13:29 GMT 2022","3301","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Tue Jun 14 17:13:29 GMT 2022","Tue Jun 14 17:13:31 GMT 2022","1476","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
"passed","Tue Jun 14 17:13:19 GMT 2022","Tue Jun 14 17:13:26 GMT 2022","6565","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
