"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","1","0","28","0","0"
"","[Files] IO operation with files in IPFS storage","","1","0","22","1","0"
"","[Astro] [IPFS] [Workspaces] Create workspace","","0","0","0","2","0"
"","[Notes] CRUD operation with secret notes","","0","0","9","1","0"
"","[Smoke] [LoginPage] Check the GhostDrive homepage","","0","0","4","0","0"
"","[Astro] [IPFS] [Workspaces] Switch to another workspace","","0","0","1","0","0"
