"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 16:10:51 GMT 2022","Tue Jun 14 16:10:58 GMT 2022","7062","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
"passed","Tue Jun 14 16:10:58 GMT 2022","Tue Jun 14 16:11:01 GMT 2022","3208","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Tue Jun 14 16:11:02 GMT 2022","Tue Jun 14 16:11:03 GMT 2022","1147","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
"passed","Tue Jun 14 16:11:01 GMT 2022","Tue Jun 14 16:11:02 GMT 2022","1287","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
