"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 14:09:28 GMT 2022","Tue Jun 14 14:09:29 GMT 2022","1456","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
"passed","Tue Jun 14 14:09:15 GMT 2022","Tue Jun 14 14:09:24 GMT 2022","8994","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
"passed","Tue Jun 14 14:09:24 GMT 2022","Tue Jun 14 14:09:28 GMT 2022","3394","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Tue Jun 14 14:09:29 GMT 2022","Tue Jun 14 14:09:31 GMT 2022","1412","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
