"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 15 08:21:46 GMT 2022","Wed Jun 15 08:21:52 GMT 2022","5653","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
"passed","Wed Jun 15 08:21:42 GMT 2022","Wed Jun 15 08:21:46 GMT 2022","3571","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Wed Jun 15 08:21:34 GMT 2022","Wed Jun 15 08:21:42 GMT 2022","8276","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
"passed","Wed Jun 15 08:21:52 GMT 2022","Wed Jun 15 08:21:53 GMT 2022","1487","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
