"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 15 09:23:24 GMT 2022","Wed Jun 15 09:23:25 GMT 2022","1173","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
"passed","Wed Jun 15 09:23:25 GMT 2022","Wed Jun 15 09:23:26 GMT 2022","1216","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
"passed","Wed Jun 15 09:23:21 GMT 2022","Wed Jun 15 09:23:24 GMT 2022","3417","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Wed Jun 15 09:23:13 GMT 2022","Wed Jun 15 09:23:21 GMT 2022","7493","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
