"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 17:39:42 GMT 2022","Tue Jun 14 17:39:45 GMT 2022","2851","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Tue Jun 14 17:39:47 GMT 2022","Tue Jun 14 17:39:48 GMT 2022","977","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
"passed","Tue Jun 14 17:39:36 GMT 2022","Tue Jun 14 17:39:42 GMT 2022","6595","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
"passed","Tue Jun 14 17:39:45 GMT 2022","Tue Jun 14 17:39:47 GMT 2022","1539","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
