"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 17:17:38 GMT 2022","Tue Jun 14 17:17:45 GMT 2022","6998","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
"passed","Tue Jun 14 17:17:45 GMT 2022","Tue Jun 14 17:17:48 GMT 2022","3691","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Tue Jun 14 17:17:50 GMT 2022","Tue Jun 14 17:17:51 GMT 2022","1137","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
"passed","Tue Jun 14 17:17:48 GMT 2022","Tue Jun 14 17:17:50 GMT 2022","1190","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
