"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 16:18:30 GMT 2022","Tue Jun 14 16:18:31 GMT 2022","1124","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
"passed","Tue Jun 14 16:18:26 GMT 2022","Tue Jun 14 16:18:29 GMT 2022","3065","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Tue Jun 14 16:18:19 GMT 2022","Tue Jun 14 16:18:26 GMT 2022","7095","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
"passed","Tue Jun 14 16:18:29 GMT 2022","Tue Jun 14 16:18:30 GMT 2022","1159","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
