"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 15 08:52:17 GMT 2022","Wed Jun 15 08:52:20 GMT 2022","3506","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Wed Jun 15 08:52:20 GMT 2022","Wed Jun 15 08:52:21 GMT 2022","983","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
"passed","Wed Jun 15 08:52:21 GMT 2022","Wed Jun 15 08:52:22 GMT 2022","949","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
"passed","Wed Jun 15 08:52:11 GMT 2022","Wed Jun 15 08:52:17 GMT 2022","5482","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
