"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 19:49:33 GMT 2022","Tue Jun 14 19:49:37 GMT 2022","3415","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Tue Jun 14 19:49:37 GMT 2022","Tue Jun 14 19:49:38 GMT 2022","993","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
"passed","Tue Jun 14 19:49:26 GMT 2022","Tue Jun 14 19:49:33 GMT 2022","7067","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
"passed","Tue Jun 14 19:49:38 GMT 2022","Tue Jun 14 19:49:39 GMT 2022","1168","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
