"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 16:05:36 GMT 2022","Tue Jun 14 16:05:49 GMT 2022","12666","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
"passed","Tue Jun 14 16:05:34 GMT 2022","Tue Jun 14 16:05:36 GMT 2022","2667","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Tue Jun 14 16:05:49 GMT 2022","Tue Jun 14 16:05:50 GMT 2022","1235","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
"passed","Tue Jun 14 16:05:24 GMT 2022","Tue Jun 14 16:05:34 GMT 2022","9944","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
