"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 17:34:17 GMT 2022","Tue Jun 14 17:34:25 GMT 2022","7467","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
"passed","Tue Jun 14 17:34:29 GMT 2022","Tue Jun 14 17:34:30 GMT 2022","1181","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
"passed","Tue Jun 14 17:34:25 GMT 2022","Tue Jun 14 17:34:28 GMT 2022","2700","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Tue Jun 14 17:34:28 GMT 2022","Tue Jun 14 17:34:29 GMT 2022","1213","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
