"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 17:46:22 GMT 2022","Tue Jun 14 17:46:25 GMT 2022","3269","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Tue Jun 14 17:46:26 GMT 2022","Tue Jun 14 17:46:27 GMT 2022","1248","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
"passed","Tue Jun 14 17:46:14 GMT 2022","Tue Jun 14 17:46:22 GMT 2022","7701","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
"passed","Tue Jun 14 17:46:25 GMT 2022","Tue Jun 14 17:46:26 GMT 2022","1080","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
