"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 13:37:40 GMT 2022","Tue Jun 14 13:37:43 GMT 2022","3153","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Tue Jun 14 13:37:32 GMT 2022","Tue Jun 14 13:37:39 GMT 2022","7773","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
"passed","Tue Jun 14 13:37:44 GMT 2022","Tue Jun 14 13:37:45 GMT 2022","1233","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
"passed","Tue Jun 14 13:37:43 GMT 2022","Tue Jun 14 13:37:44 GMT 2022","1194","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
