"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 19:22:33 GMT 2022","Tue Jun 14 19:22:35 GMT 2022","1114","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
"passed","Tue Jun 14 19:22:30 GMT 2022","Tue Jun 14 19:22:33 GMT 2022","3273","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Tue Jun 14 19:22:23 GMT 2022","Tue Jun 14 19:22:30 GMT 2022","6833","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
"passed","Tue Jun 14 19:22:35 GMT 2022","Tue Jun 14 19:22:36 GMT 2022","1144","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
