"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 16:13:33 GMT 2022","Tue Jun 14 16:13:35 GMT 2022","1695","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
"passed","Tue Jun 14 16:13:30 GMT 2022","Tue Jun 14 16:13:33 GMT 2022","2936","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Tue Jun 14 16:13:24 GMT 2022","Tue Jun 14 16:13:30 GMT 2022","5903","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
"passed","Tue Jun 14 16:13:35 GMT 2022","Tue Jun 14 16:13:36 GMT 2022","979","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
