"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 12:21:32 GMT 2022","Tue Jun 14 12:21:33 GMT 2022","1218","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
"failed","Tue Jun 14 12:21:24 GMT 2022","Tue Jun 14 12:21:31 GMT 2022","7238","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"failed","Tue Jun 14 12:21:07 GMT 2022","Tue Jun 14 12:21:24 GMT 2022","16498","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
"passed","Tue Jun 14 12:21:31 GMT 2022","Tue Jun 14 12:21:32 GMT 2022","1228","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
