"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 15 09:14:02 GMT 2022","Wed Jun 15 09:14:05 GMT 2022","3170","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Wed Jun 15 09:14:06 GMT 2022","Wed Jun 15 09:14:08 GMT 2022","1186","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
"passed","Wed Jun 15 09:13:54 GMT 2022","Wed Jun 15 09:14:02 GMT 2022","7758","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
"passed","Wed Jun 15 09:14:05 GMT 2022","Wed Jun 15 09:14:06 GMT 2022","1091","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
