"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 14 12:28:36 GMT 2022","Tue Jun 14 12:28:36 GMT 2022","340","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"failed","Tue Jun 14 12:28:37 GMT 2022","Tue Jun 14 12:28:37 GMT 2022","337","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
"failed","Tue Jun 14 12:28:36 GMT 2022","Tue Jun 14 12:28:37 GMT 2022","345","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
"passed","Tue Jun 14 12:28:29 GMT 2022","Tue Jun 14 12:28:36 GMT 2022","6565","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
