"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 13:21:10 GMT 2022","Tue Jun 14 13:21:13 GMT 2022","2647","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Tue Jun 14 13:21:14 GMT 2022","Tue Jun 14 13:21:15 GMT 2022","1117","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
"passed","Tue Jun 14 13:21:04 GMT 2022","Tue Jun 14 13:21:10 GMT 2022","6140","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
"passed","Tue Jun 14 13:21:13 GMT 2022","Tue Jun 14 13:21:14 GMT 2022","966","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
