"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 19:33:36 GMT 2022","Tue Jun 14 19:33:43 GMT 2022","7107","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
"skipped","Tue Jun 14 19:33:46 GMT 2022","Tue Jun 14 19:33:46 GMT 2022","1","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
"passed","Tue Jun 14 19:33:43 GMT 2022","Tue Jun 14 19:33:46 GMT 2022","2888","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"failed","Tue Jun 14 19:33:46 GMT 2022","Tue Jun 14 19:33:51 GMT 2022","5113","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
