"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 15:12:57 GMT 2022","Tue Jun 14 15:13:06 GMT 2022","8817","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
"passed","Tue Jun 14 15:13:06 GMT 2022","Tue Jun 14 15:13:09 GMT 2022","3425","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Tue Jun 14 15:13:11 GMT 2022","Tue Jun 14 15:13:12 GMT 2022","1465","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
"passed","Tue Jun 14 15:13:09 GMT 2022","Tue Jun 14 15:13:11 GMT 2022","1548","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
