"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 16:03:11 GMT 2022","Tue Jun 14 16:03:14 GMT 2022","3242","","[#HomePage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Tue Jun 14 16:03:14 GMT 2022","Tue Jun 14 16:03:15 GMT 2022","1344","","[#HomePage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
"passed","Tue Jun 14 16:03:04 GMT 2022","Tue Jun 14 16:03:11 GMT 2022","7031","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
"passed","Tue Jun 14 16:03:15 GMT 2022","Tue Jun 14 16:03:17 GMT 2022","1248","","[#HomePage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
